Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
62,1,38.305,0.03167,34.556,35.483,36.023,36.31,36.75,37.048,37.487,38.305,39.123,39.562,39.86,40.3,40.587,41.127,42.054
63,1,38.3516,0.03166,34.599,35.527,36.068,36.354,36.796,37.093,37.533,38.352,39.171,39.61,39.908,40.349,40.635,41.176,42.104
64,1,38.3978,0.03164,34.643,35.572,36.113,36.399,36.841,37.139,37.578,38.398,39.217,39.657,39.955,40.396,40.683,41.224,42.152
65,1,38.4437,0.03163,34.686,35.615,36.157,36.444,36.885,37.183,37.624,38.444,39.264,39.704,40.002,40.444,40.731,41.272,42.201
66,1,38.4891,0.03162,34.728,35.658,36.2,36.487,36.929,37.228,37.668,38.489,39.31,39.75,40.049,40.491,40.778,41.32,42.25
67,1,38.5342,0.03161,34.77,35.701,36.243,36.531,36.973,37.272,37.713,38.534,39.356,39.797,40.095,40.538,40.825,41.368,42.298
68,1,38.5789,0.0316,34.812,35.743,36.286,36.574,37.017,37.315,37.757,38.579,39.401,39.842,40.141,40.584,40.872,41.415,42.346
69,1,38.6233,0.03159,34.853,35.785,36.329,36.616,37.06,37.359,37.8,38.623,39.446,39.888,40.187,40.63,40.918,41.462,42.394
70,1,38.6673,0.03158,34.894,35.827,36.371,36.659,37.102,37.402,37.844,38.667,39.491,39.933,40.232,40.676,40.964,41.508,42.441
71,1,38.711,0.03158,34.933,35.867,36.412,36.7,37.144,37.444,37.886,38.711,39.536,39.978,40.278,40.722,41.01,41.555,42.489
72,1,38.7543,0.03157,34.973,35.908,36.453,36.742,37.186,37.486,37.929,38.754,39.58,40.022,40.322,40.767,41.055,41.601,42.535
73,1,38.7973,0.03156,35.013,35.949,36.494,36.783,37.228,37.528,37.971,38.797,39.623,40.066,40.366,40.811,41.1,41.646,42.581
74,1,38.84,0.03155,35.053,35.989,36.535,36.824,37.27,37.57,38.013,38.84,39.667,40.11,40.41,40.856,41.145,41.691,42.627
75,1,38.8823,0.03154,35.093,36.029,36.576,36.865,37.311,37.611,38.055,38.882,39.709,40.153,40.454,40.899,41.189,41.735,42.672
76,1,38.9244,0.03153,35.132,36.069,36.616,36.906,37.352,37.652,38.097,38.924,39.752,40.196,40.497,40.943,41.233,41.779,42.717
77,1,38.9661,0.03152,35.171,36.109,36.656,36.946,37.392,37.693,38.138,38.966,39.795,40.239,40.54,40.986,41.276,41.823,42.762
78,1,39.0075,0.03151,35.209,36.148,36.696,36.986,37.432,37.734,38.178,39.008,39.837,40.281,40.583,41.029,41.319,41.867,42.806
79,1,39.0487,0.0315,35.248,36.187,36.735,37.025,37.472,37.774,38.219,39.049,39.878,40.324,40.625,41.072,41.362,41.91,42.85
80,1,39.0895,0.03149,35.286,36.226,36.774,37.065,37.512,37.814,38.259,39.09,39.92,40.365,40.667,41.114,41.405,41.953,42.893
81,1,39.1301,0.03149,35.322,36.264,36.813,37.103,37.551,37.853,38.299,39.13,39.961,40.407,40.709,41.157,41.448,41.997,42.938
82,1,39.1704,0.03148,35.36,36.302,36.851,37.142,37.59,37.892,38.339,39.17,40.002,40.448,40.751,41.199,41.49,42.039,42.981
83,1,39.2104,0.03147,35.397,36.34,36.89,37.181,37.629,37.931,38.378,39.21,40.043,40.489,40.792,41.24,41.531,42.081,43.024
84,1,39.2501,0.03146,35.434,36.378,36.928,37.219,37.668,37.97,38.417,39.25,40.083,40.53,40.833,41.281,41.573,42.123,43.066
85,1,39.2896,0.03145,35.471,36.415,36.966,37.257,37.706,38.009,38.456,39.29,40.123,40.57,40.873,41.322,41.614,42.164,43.108
86,1,39.3288,0.03144,35.508,36.452,37.003,37.295,37.744,38.047,38.495,39.329,40.163,40.61,40.913,41.363,41.654,42.205,43.15
87,1,39.3677,0.03144,35.543,36.488,37.04,37.332,37.781,38.085,38.533,39.368,40.203,40.651,40.954,41.404,41.696,42.247,43.193
88,1,39.4064,0.03143,35.579,36.525,37.077,37.369,37.819,38.123,38.571,39.406,40.242,40.69,40.994,41.444,41.736,42.288,43.234
89,1,39.4448,0.03142,35.615,36.562,37.114,37.406,37.857,38.16,38.609,39.445,40.281,40.729,41.033,41.483,41.776,42.328,43.275
90,1,39.483,0.03141,35.651,36.598,37.151,37.443,37.894,38.198,38.647,39.483,40.319,40.768,41.072,41.523,41.815,42.368,43.315
91,1,39.521,0.0314,35.686,36.634,37.187,37.48,37.931,38.235,38.684,39.521,40.358,40.807,41.111,41.562,41.855,42.408,43.356
92,1,39.5587,0.0314,35.72,36.669,37.222,37.516,37.967,38.271,38.721,39.559,40.397,40.846,41.151,41.602,41.895,42.448,43.397
93,1,39.5962,0.03139,35.755,36.705,37.259,37.552,38.003,38.308,38.758,39.596,40.435,40.884,41.189,41.641,41.934,42.488,43.437
94,1,39.6335,0.03138,35.79,36.74,37.294,37.588,38.04,38.344,38.795,39.634,40.472,40.923,41.227,41.679,41.973,42.527,43.477
95,1,39.6705,0.03137,35.825,36.775,37.33,37.624,38.076,38.381,38.831,39.671,40.51,40.96,41.265,41.717,42.011,42.566,43.516
96,1,39.7073,0.03137,35.858,36.81,37.365,37.658,38.111,38.416,38.867,39.707,40.547,40.998,41.304,41.756,42.05,42.605,43.557
97,1,39.7438,0.03136,35.892,36.844,37.4,37.694,38.147,38.452,38.903,39.744,40.584,41.036,41.341,41.794,42.088,42.643,43.595
98,1,39.7802,0.03135,35.926,36.879,37.435,37.729,38.182,38.488,38.939,39.78,40.621,41.073,41.378,41.832,42.126,42.681,43.634
99,1,39.8163,0.03134,35.96,36.913,37.469,37.764,38.217,38.523,38.975,39.816,40.658,41.11,41.415,41.869,42.163,42.719,43.672
100,1,39.8522,0.03134,35.993,36.947,37.503,37.798,38.252,38.558,39.01,39.852,40.695,41.147,41.453,41.907,42.201,42.758,43.712
101,1,39.8879,0.03133,36.026,36.981,37.537,37.832,38.286,38.593,39.045,39.888,40.731,41.183,41.489,41.943,42.238,42.795,43.75
102,1,39.9233,0.03132,36.059,37.014,37.572,37.867,38.321,38.627,39.08,39.923,40.767,41.219,41.526,41.98,42.275,42.832,43.787
103,1,39.9586,0.03131,36.092,37.048,37.606,37.901,38.355,38.662,39.115,39.959,40.802,41.255,41.562,42.016,42.312,42.869,43.825
104,1,39.9936,0.03131,36.124,37.081,37.638,37.934,38.389,38.696,39.149,39.994,40.838,41.291,41.598,42.053,42.349,42.907,43.863
105,1,40.0284,0.0313,36.157,37.114,37.672,37.968,38.423,38.73,39.183,40.028,40.873,41.327,41.634,42.089,42.385,42.943,43.9
106,1,40.063,0.03129,36.189,37.147,37.705,38.001,38.456,38.764,39.217,40.063,40.909,41.362,41.67,42.125,42.421,42.979,43.937
107,1,40.0974,0.03129,36.22,37.179,37.738,38.034,38.49,38.797,39.251,40.097,40.944,41.398,41.705,42.161,42.457,43.016,43.975
108,1,40.1316,0.03128,36.252,37.211,37.771,38.067,38.523,38.831,39.285,40.132,40.978,41.433,41.74,42.196,42.493,43.052,44.011
109,1,40.1656,0.03127,36.284,37.244,37.803,38.1,38.556,38.864,39.318,40.166,41.013,41.467,41.775,42.232,42.528,43.087,44.047
110,1,40.1994,0.03127,36.315,37.275,37.835,38.132,38.588,38.897,39.352,40.199,41.047,41.502,41.81,42.267,42.564,43.124,44.084
111,1,40.233,0.03126,36.346,37.307,37.868,38.164,38.621,38.929,39.385,40.233,41.081,41.537,41.845,42.302,42.598,43.159,44.12
