Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
40,0.2113,15.5115,0.08884,11.69,12.557,13.085,13.372,13.823,14.134,14.604,15.512,16.463,16.993,17.359,17.913,18.28,18.989,20.256
41,0.2058,15.5618,0.08871,11.736,12.603,13.132,13.419,13.871,14.182,14.653,15.562,16.515,17.046,17.413,17.968,18.336,19.047,20.318
42,0.2003,15.6107,0.08859,11.78,12.648,13.177,13.465,13.917,14.229,14.7,15.611,16.566,17.098,17.465,18.022,18.391,19.104,20.378
43,0.1949,15.6582,0.08847,11.823,12.692,13.221,13.509,13.962,14.274,14.746,15.658,16.615,17.148,17.516,18.074,18.444,19.159,20.437
44,0.1896,15.7043,0.08835,11.865,12.734,13.265,13.553,14.006,14.319,14.791,15.704,16.663,17.197,17.566,18.125,18.496,19.213,20.494
45,0.1844,15.7492,0.08824,11.906,12.775,13.306,13.595,14.048,14.362,14.834,15.749,16.71,17.244,17.614,18.175,18.546,19.265,20.55
46,0.1793,15.7929,0.08813,11.945,12.816,13.347,13.636,14.09,14.403,14.877,15.793,16.755,17.291,17.661,18.223,18.595,19.315,20.604
47,0.1743,15.8353,0.08802,11.984,12.855,13.387,13.675,14.13,14.444,14.918,15.835,16.799,17.335,17.707,18.269,18.643,19.364,20.656
48,0.1693,15.8767,0.08792,12.022,12.893,13.425,13.714,14.169,14.484,14.958,15.877,16.842,17.379,17.751,18.315,18.689,19.413,20.707
49,0.1645,15.9169,0.08782,12.058,12.93,13.463,13.752,14.208,14.522,14.997,15.917,16.883,17.422,17.795,18.359,18.734,19.459,20.757
50,0.1597,15.956,0.08772,12.094,12.966,13.499,13.789,14.245,14.56,15.035,15.956,16.924,17.463,17.837,18.402,18.778,19.505,20.805
51,0.155,15.9941,0.08762,12.129,13.002,13.535,13.825,14.281,14.596,15.072,15.994,16.963,17.503,17.878,18.444,18.82,19.549,20.852
52,0.1503,16.0311,0.08753,12.163,13.036,13.57,13.86,14.316,14.632,15.108,16.031,17.002,17.543,17.917,18.485,18.862,19.592,20.898
53,0.1457,16.0672,0.08743,12.196,13.07,13.604,13.894,14.351,14.666,15.143,16.067,17.039,17.581,17.956,18.525,18.902,19.633,20.942
54,0.1412,16.1023,0.08734,12.229,13.103,13.637,13.927,14.384,14.7,15.177,16.102,17.075,17.618,17.994,18.563,18.941,19.674,20.986
