Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
174,0.1295,7.821,0.10984,5.527,6.031,6.343,6.514,6.785,6.974,7.26,7.821,8.419,8.757,8.992,9.35,9.59,10.056,10.903
175,0.129,7.8344,0.1098,5.538,6.042,6.355,6.526,6.797,6.986,7.273,7.834,8.434,8.771,9.007,9.366,9.605,10.073,10.92
176,0.1286,7.8477,0.10977,5.548,6.053,6.366,6.537,6.809,6.998,7.285,7.848,8.448,8.786,9.022,9.381,9.621,10.089,10.938
177,0.1282,7.8609,0.10974,5.558,6.064,6.377,6.549,6.821,7.01,7.297,7.861,8.462,8.801,9.037,9.397,9.637,10.106,10.956
178,0.1277,7.8741,0.10971,5.568,6.075,6.388,6.56,6.833,7.022,7.31,7.874,8.476,8.815,9.052,9.412,9.653,10.122,10.973
179,0.1273,7.8871,0.10968,5.578,6.085,6.399,6.571,6.844,7.034,7.322,7.887,8.49,8.829,9.066,9.427,9.668,10.138,10.991
180,0.1269,7.9002,0.10965,5.588,6.096,6.41,6.583,6.856,7.046,7.334,7.9,8.504,8.844,9.081,9.442,9.684,10.155,11.008
181,0.1264,7.9131,0.10962,5.597,6.106,6.421,6.594,6.867,7.057,7.347,7.913,8.517,8.858,9.095,9.457,9.699,10.171,11.026
182,0.126,7.926,0.10959,5.607,6.117,6.432,6.605,6.879,7.069,7.359,7.926,8.531,8.872,9.11,9.472,9.715,10.187,11.043
183,0.1256,7.9389,0.10957,5.617,6.127,6.443,6.616,6.89,7.081,7.371,7.939,8.545,8.887,9.125,9.488,9.73,10.203,11.06
184,0.1251,7.9516,0.10954,5.627,6.137,6.454,6.627,6.902,7.092,7.383,7.952,8.558,8.9,9.139,9.502,9.745,10.219,11.077
185,0.1247,7.9643,0.10951,5.636,6.148,6.464,6.638,6.913,7.104,7.395,7.964,8.572,8.914,9.153,9.517,9.76,10.235,11.094
