Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
38,1,37.8034,0.03091,34.192,35.085,35.606,35.881,36.306,36.592,37.015,37.803,38.592,39.014,39.301,39.725,40.001,40.522,41.414
39,1,37.869,0.03086,34.258,35.15,35.671,35.947,36.371,36.658,37.081,37.869,38.657,39.08,39.367,39.791,40.067,40.588,41.48
40,1,37.9338,0.03081,34.322,35.215,35.736,36.011,36.436,36.722,37.145,37.934,38.722,39.145,39.432,39.856,40.132,40.653,41.545
41,1,37.9978,0.03076,34.386,35.279,35.8,36.075,36.5,36.786,37.209,37.998,38.786,39.209,39.496,39.92,40.196,40.717,41.61
42,1,38.0609,0.03072,34.448,35.341,35.862,36.138,36.562,36.849,37.272,38.061,38.85,39.273,39.559,39.984,40.26,40.781,41.674
43,1,38.1233,0.03067,34.51,35.403,35.924,36.2,36.625,36.911,37.335,38.123,38.912,39.335,39.622,40.047,40.322,40.843,41.737
44,1,38.185,0.03062,34.572,35.465,35.986,36.262,36.687,36.973,37.396,38.185,38.974,39.397,39.683,40.108,40.384,40.905,41.798
45,1,38.2459,0.03058,34.632,35.525,36.046,36.322,36.747,37.034,37.457,38.246,39.035,39.458,39.745,40.17,40.446,40.967,41.86
46,1,38.3061,0.03054,34.691,35.585,36.106,36.382,36.807,37.094,37.517,38.306,39.095,39.519,39.805,40.23,40.506,41.028,41.921
47,1,38.3655,0.03049,34.751,35.644,36.165,36.441,36.866,37.153,37.577,38.366,39.154,39.578,39.865,40.29,40.566,41.087,41.98
48,1,38.4243,0.03045,34.809,35.702,36.224,36.5,36.925,37.212,37.635,38.424,39.213,39.637,39.924,40.349,40.625,41.146,42.04
49,1,38.4824,0.03041,34.866,35.76,36.281,36.558,36.983,37.27,37.693,38.482,39.272,39.695,39.982,40.407,40.683,41.205,42.099
50,1,38.5399,0.03037,34.923,35.817,36.339,36.615,37.04,37.327,37.75,38.54,39.329,39.753,40.04,40.465,40.741,41.263,42.157
51,1,38.5968,0.03033,34.979,35.873,36.395,36.671,37.097,37.384,37.807,38.597,39.386,39.81,40.097,40.522,40.799,41.32,42.214
52,1,38.653,0.03029,35.035,35.929,36.451,36.727,37.153,37.44,37.863,38.653,39.443,39.866,40.153,40.579,40.855,41.377,42.271
